"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"CHECK_PRICES";"COPYRIGHT";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"SNAPEDA_LINK";"TP_SIGNAL_NAME";"VALUE";
"B1";"BAT-HLD-012-SMT";"BAT-HLD-012-SMT";"BAT-HLD-012-SMT_TEC";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"";"";"BAT-HLD-012-SMT";"";"TE Connectivity";"";"";"";"";"";"";"";"";"";"";"";
"BOOT";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";
"C1";"10uF";"10UF-1206-6.3V-20%";"1206";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-10057";"";"";"";"10uF";
"C2";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"0.1uF";
"C3";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08402";"";"";"";"22uF";
"C4";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08402";"";"";"";"22uF";
"C5";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"0.1uF";
"C6";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"0.1uF";
"C7";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08402";"";"";"";"22uF";
"C8";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"";"";"1.0uF";
"C9";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"0.1uF";
"C10";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"";"";"1.0uF";
"C11";"10uF";"10UF-1206-6.3V-20%";"1206";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-10057";"";"";"";"10uF";
"C12";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"0.1uF";
"C14";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"0.1uF";
"D1";"1A/23V/620mV";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-11623";"";"";"";"1A/23V/620mV";
"D2";"1A/23V/620mV";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-11623";"";"";"";"1A/23V/620mV";
"H1";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";
"J1";"";"USB_C_2-LAYER_PADS";"USB-C-16P-2LAYER-PADS";"USB Type C 16Pin Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-14122";"";"";"";"";
"J2";"282834-3";"282834-3";"2828343";"Connector pcb 3 way 2.54mm Termi-Block";"";"";"";"Connector pcb 3 way 2.54mm Termi-Block";"10mm";"TE Connectivity";"282834-3";"";"";"571-2828343";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity/282834-3?qs=A%252Bip%252BNCYi6M69kAjqV38yA%3D%3D";"";"";"";"";"";"";"";"";"";
"J4";"JST-XH-04-PIN-ROUND-PAD";"JST-XH-04-PIN-ROUND-PAD";"JST-XH-04-PACKAGE-ROUND-PAD";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP1";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP2";"JUMPER-SMT_2_NO_NO-SILK";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"4.7μH_SHIELDED_INDUCTOR";"4.7μH_SHIELDED_INDUCTOR";"1008(2520)";"4.7uH Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NDUC-14880";"";"";"";"";
"R1";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"";"";"1k";
"R6";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07861";"";"";"";"220";
"R7";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"";"";"1k";
"R10";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07861";"";"";"";"220";
"R11";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"";"";"1k";
"R12";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-12083";"";"";"";"5.1k";
"R15";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"10k";
"R16";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-12083";"";"";"";"5.1k";
"R40";"120";"120OHM-0603-1/10W-5%";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"120";
"RST";"JUMPER-SMT_2_NO_NO-SILK";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RV1";"ZV35K1210251NIR1";"ZV35K1210251NIR1";"VARC3225X145N";"Varistors ZV 35V 10%";"";"";"";"Varistors ZV 35V 10%";"1.45mm";"Bourns";"ZV35K1210251NIR1";"";"";"652-ZV35K1210251NIR1";"https://www.mouser.co.uk/ProductDetail/Bourns/ZV35K1210251NIR1?qs=GBLSl2AkirutxOaOmtSxyA%3D%3D";"";"";"";"";"";"";"";"";"";
"RV2";"ZV35K1210251NIR1";"ZV35K1210251NIR1";"VARC3225X145N";"Varistors ZV 35V 10%";"";"";"";"Varistors ZV 35V 10%";"1.45mm";"Bourns";"ZV35K1210251NIR1";"";"";"652-ZV35K1210251NIR1";"https://www.mouser.co.uk/ProductDetail/Bourns/ZV35K1210251NIR1?qs=GBLSl2AkirutxOaOmtSxyA%3D%3D";"";"";"";"";"";"";"";"";"";
"SCL";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";
"SDA";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";
"U1";"AP63203WU-7";"AP63203WU-7";"SOIC_05WU-7_DIO";"";"";"";"Copyright (C) 2023 Ultra Librarian. All rights reserved.";"";"";"";"AP63203WU-7";"";"Diodes Inc";"";"";"";"";"";"";"";"";"";"";"";
"U2";"SCD-40";"SCD-40";"SCD40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U4";"ESP32-S3-WROOM-1-N16R2";"ESP32-S3-WROOM-1-N16R2";"XCVR_ESP32-S3-WROOM-1-N16R2";"Check availability";"In Stock";"https://www.snapeda.com/parts/ESP32S3WROOM1N16R2/Espressif+Systems/view-part/?ref=eda";"";" Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz PCB Trace Surface Mount ";"";"";"";"Espressif Systems";"";"";"";"ESP32S3WROOM1N16R2";"NON STANDARD Espressif Systems";"";"None";"";"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=10874217&manufacturer=Espressif Systems&part_name=ESP32S3WROOM1N16R2&search_term=None";"https://www.snapeda.com/parts/ESP32S3WROOM1N16R2/Espressif+Systems/view-part/?ref=snap";"";"";
"U5";"G3VM-61VY3_TR_";"G3VM-61VY3_TR_";"G3VM61VY3TR";"Solid State Relays - PCB Mount MOSFET Relay SOP4 60V 700mA 1 Form A";"";"";"";"Solid State Relays - PCB Mount MOSFET Relay SOP4 60V 700mA 1 Form A";"2.5mm";"Omron Electronics";"G3VM-61VY3(TR)";"";"";"653-G3VM-61VY3TR";"https://www.mouser.co.uk/ProductDetail/Omron-Electronics/G3VM-61VY3TR?qs=F5EMLAvA7IDWDr%252BrEjvwmw%3D%3D";"";"";"";"";"";"";"";"";"";
"U6";"G3VM-61VY3_TR_";"G3VM-61VY3_TR_";"G3VM61VY3TR";"Solid State Relays - PCB Mount MOSFET Relay SOP4 60V 700mA 1 Form A";"";"";"";"Solid State Relays - PCB Mount MOSFET Relay SOP4 60V 700mA 1 Form A";"2.5mm";"Omron Electronics";"G3VM-61VY3(TR)";"";"";"653-G3VM-61VY3TR";"https://www.mouser.co.uk/ProductDetail/Omron-Electronics/G3VM-61VY3TR?qs=F5EMLAvA7IDWDr%252BrEjvwmw%3D%3D";"";"";"";"";"";"";"";"";"";
"U7";"RX8111CE_B0";"RX8111CE_B0";"RX8111CEB0";"Real Time Clock RX8111CE:B0 REAL TIME CLOCK I2C-BUS 3.0V 23PPM 1K TR";"";"";"";"Real Time Clock RX8111CE:B0 REAL TIME CLOCK I2C-BUS 3.0V 23PPM 1K TR";"1mm";"Epson Timing";"RX8111CE B0";"";"";"732-RX8111CEB0";"https://www.mouser.co.uk/ProductDetail/Epson-Timing/RX8111CE-B0?qs=4qgZ1GHix0XWELEbfCuzyg%3D%3D";"";"";"";"";"";"";"";"";"";
"U8";"STS35-DIS";"STS35-DIS";"SON50P250X250X100-9N";"Board Mount Temperature Sensors High-accuracy Digital Temperature Sensor IC";"";"";"";"Board Mount Temperature Sensors High-accuracy Digital Temperature Sensor IC";"1mm";"Sensirion";"STS35-DIS";"";"";"403-STS35-DIS";"https://www.mouser.co.uk/ProductDetail/Sensirion/STS35-DIS?qs=F5EMLAvA7IBgq10iVaCNnw%3D%3D";"";"";"";"";"";"";"";"";"";
"U9";"SP3485CN-L";"SP3485CN-L";"SOIC127P600X175-8N";"Transceiver RS-485 3.3V 10Mbps SOIC8 EXAR SP3485CN-L, Line Transceiver, RS-422, RS-485, 3.3 V, 8-Pin SOIC";"";"";"";"Transceiver RS-485 3.3V 10Mbps SOIC8 EXAR SP3485CN-L, Line Transceiver, RS-422, RS-485, 3.3 V, 8-Pin SOIC";"1.75mm";"EXAR";"SP3485CN-L";"";"";"701-SP3485CN-L";"https://www.mouser.com/Search/Refine.aspx?Keyword=701-SP3485CN-L";"";"";"";"";"";"";"";"";"";
"X3";"FFC2B35-18-G-EYE_SPI";"FFC2B35-18-G-EYE_SPI";"FFC2B3518G";"FFC & FPC Connectors .5mm SideEntry Flat Flex Cbl Conn 18P Au";"";"";"";"FFC & FPC Connectors .5mm SideEntry Flat Flex Cbl Conn 18P Au";"2.2mm";"GCT (GLOBAL CONNECTOR TECHNOLOGY)";"FFC2B35-18-G";"";"";"640-FFC2B35-18-G";"https://www.mouser.co.uk/ProductDetail/GCT/FFC2B35-18-G?qs=Li%252BoUPsLEntRHHb6c10PFg%3D%3D";"";"";"";"";"";"";"";"";"";
