"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"CHECK_PRICES";"COPYRIGHT";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"SNAPEDA_LINK";"TP_SIGNAL_NAME";"VALUE";
"C1";"10uF";"10UF-1210-50V-20%";"1210";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09824";"";"";"";"10uF";
"C2";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"0.1uF";
"C3";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08402";"";"";"";"22uF";
"C4";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08402";"";"";"";"22uF";
"C5";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"0.1uF";
"C6";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"0.1uF";
"C7";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08402";"";"";"";"22uF";
"C8";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"";"";"10nF";
"C9";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"";"";"1.0uF";
"C10";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"";"";"1.0uF";
"C11";"10uF";"10UF-1210-50V-20%";"1210";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09824";"";"";"";"10uF";
"C12";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"0.1uF";
"C14";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"0.1uF";
"D1";"1A/23V/620mV";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-11623";"";"";"";"1A/23V/620mV";
"DL";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";
"H1";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";
"H2";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";
"J1";"";"USB_C_2-LAYER_PADS";"USB-C-16P-2LAYER-PADS";"USB Type C 16Pin Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-14122";"";"";"";"";
"L1";"4.7μH";"4.7μH_SHIELDED_INDUCTORNPIS_LS";"INDUCTOR_4X4MM";"4.7uH Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NDUC-15245";"";"";"";"4.7μH";
"Q2";"20V/4.2A/52mΩ/1.4W";"MOSFET_PCH-DMG2305UX-7";"SOT23-3";"P-channel MOSFETs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-14388";"";"";"";"20V/4.2A/52mΩ/1.4W";
"R1";"510";"510OHM-0603-1/10W-5%";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"510";
"R2";"510";"510OHM-0603-1/10W-5%";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"510";
"R3";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08272";"";"";"";"2.2k";
"R7";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"";"";"4.7k";
"R11";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"";"";"4.7k";
"R12";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-12083";"";"";"";"5.1k";
"R13";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"";"";"4.7k";
